caso_id,tomo,span,span_real,modo,tiene_dispositivo,disp_tipo,disp_tier,disp_idx,firma_forward,firma_inversa_motivo,firma_inversa_raw,jueces_ultimas30,candidatas_firma,ultimas_10,contexto_dispositivo
329_p573,329,105,106,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"ba gozando del subsidio por desempleo previsto por la ley 24.013 –que | debe ser computado como tiempo de remuneraciones con aportes– al | momento de quedar minusválido, corresponde revocar la sentencia | apelada y ordenar al organismo administrativo que otorgue el retiro | por invalidez solicitado en su carácter de aportante regular con dere- | 576 | FALLOS DE LA CORTE SUPREMA | 329 | cho (arg. doctrina de la causa T.1041.XXXVIII. “Tarditti, Marta Elena",
329_p1554,329,545,546,A_juez_no_en_lista,si,por_ello,tier1_fallback,544,,sin_firma_post_fallo,,,L543: go Procesal Civil y Comercial de la Nación.,"329 | consecuencia ni la imprevisión del legislador– un tratamiento especí- | fico por su parte en el caso de que el propósito perseguido hubiera sido | apartarse de la regla general. | 12) Que, en atención al modo en que se resuelven las distintas | pretensiones objeto de controversia, las costas del juicio deben ser dis- | tribuidas por su orden de acuerdo a lo dispuesto en el art. 71 del Códi- | go Procesal Civil y Comercial de la Nación. | Por ello, de conformidad con el dictamen del señor P","go Procesal Civil y Comercial de la Nación. | Por ello, de conformidad con el dictamen del señor Procurador Fis- | cal subrogante, se decide: I.– Hacer lugar a la demanda seguida por"
329_p1568,329,709,710,D_sin_pistas_firma,si,en_consecuencia,tier1_fallback,692,,sin_firma_post_fallo,,,,"329 | dante de una declaración general y directa de inconstitucionalidad de | las referidas leyes locales debe ser rechazada. | 11) Que, en atención al modo en que se resuelven las distintas | pretensiones objeto de controversia y a la significación patrimonial de | cada una de ellas, las costas del juicio deben ser distribuidas por su | orden de acuerdo a lo dispuesto en el art. 71 del Código Procesal Civil | y Comercial de la Nación. | Por ello, de conformidad con el dictamen del señor Procura","328:3356 y sus citas). | En consecuencia, el agravio de la actora con respecto a los períodos | posteriores a los alcanzados por la resolución 627/00, resulta en esta | instancia, tal como lo afirma en su dictamen el señor Procurador Fis- | cal subrogante a fs. 157, conjetural e hipotético (Fallos: "
329_p1859,329,98,99,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"obligación de abonar las cuotas pactadas en tiempo propio (arts. 508, | 509, 622 y 742 del Código Civil). | 6º) Que de todos modos y a pesar de que el Tribunal desestima las | infundadas observaciones efectuadas por el Estado provincial, se debe | ordenar que el interesado practique una nueva cuenta. Ello es así, en | virtud de que si bien en la liquidación de fs. 215/216 se ha considerado | correctamente el tipo de tasa que debe computarse, no se ha utilizado | la fórmula que corresponde según ",
329_p1928,329,50,51,B_disp_faltante_juez_presente,no,,sin_dispositivo,,,sin_firma_post_fallo,,Argibay@L22; Argibay@L33,L23: JUBILACION Y PENSION.; L29: JUBILACION Y PENSION.,"1930 | FALLOS DE LA CORTE SUPREMA | 329 | citan el examen de cuestiones análogas a las resueltas por la Corte en | el precedente publicado en Fallos: 326:4030 (“Cordón”), voto de la | mayoría, cuyos fundamentos se dan por reproducidos. | El juez Lorenzetti se remite al voto del juez Belluscio en la citada | causa. | El juez Zaffaroni se remite a su disidencia en H.87.XXXVII. “Halper,",
329_p2121,329,142,143,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"tución Nacional respecto de las provincias con las prerrogativas que le | asisten a la Nación al fuero federal, sobre la base de lo dispuesto por el | art. 116 de la Ley Fundamental es sustanciar la acción en la instancia | originaria de la Corte Suprema (Fallos: 320:2567; 322;190; 323:1110 y | 327:5556), este principio no puede ser aplicado en autos. | 2125 | DE JUSTICIA DE LA NACION | 329 | En efecto, el actor inicia la demanda contra la Municipalidad de",
329_p2757,329,80,81,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"afirma que en la última inspección los períodos verificados fueron des- | de julio de 2000 hasta mayo de 2004, no cabe duda de que éstos están | referidos al acta Nº 7554, de fecha 27 de agosto de 2004, que no es la | que dio origen a la obligación que se reclama en esta ejecución. | Por último, en lo que atañe al acta de inspección y sus anexos que | conforman el título ejecutivo, nada cabe resolver sobre ellos si se tiene | en cuenta que resultan pertinentes y suficientes respecto del cuerpo |",
329_p2829,329,22,23,A_juez_no_en_lista,no,,sin_dispositivo,,,sin_firma_post_fallo,,,"L1: JUBILACIÓN Y PENSION.; L10: –Del precedente “Etala” (Fallos: 325:2990), al que remitió la Corte Suprema–.","Vistos los autos: “Bariain, Teresa Amaya c/ ANSeS s/medidas | cautelares”. | 2830 | FALLOS DE LA CORTE SUPREMA | 329 | Considerando: | Que contra el pronunciamiento de la Sala II de la Cámara Federal | de la Seguridad Social que revocó el fallo de la instancia anterior que | había negado a la titular el derecho al doble beneficio previsional, la",
329_p3564,329,156,157,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_zona_fallo,,,,"nar el día 17 de mayo de 2000, in re “Antonucci”; y V.E. decidir (cfr. | Fallos: 324:3876). | Sin perjuicio de lo expuesto, cabe señalar que respecto de la vigen- | cia de la ley 25.471 V.E. tiene muy dicho que las sentencias de la Corte | deben atender a las circunstancias existentes al momento de la deci- | sión, aunque ellas sean sobrevinientes a la interposición del recurso | extraordinario (Fallos: 310:116, entre muchos otros). En consecuen- | cia, el debate que el Estado Nacional mantiene ",
329_p3872,329,242,243,B_sin_dispositivo_sin_firma,no,,sin_dispositivo,,,sin_firma_post_fallo,,,,"diera producir un perjuicio o lesión actual al actor y éste no dispusiera | de otro medio legal para ponerle término inmediatamente” (art. 322 | del Código Procesal Civil y Comercial de la Nación), de modo que se | procure preservar por esta vía los efectos de un “acto en ciernes” al | que se le atribuye ilegitimidad y lesión del régimen constitucional (conf. | causa E.223.XXXV, “Expreso Ciudad de Gualeguaychú Sociedad de | 3879 | DE JUSTICIA DE LA NACION | 329",
