caso_id_canonico,date_pre
329_p5,7 de febrero de 2006
329_p9,7 de febrero de 2006
329_p12,7 de febrero de 2006
329_p15,7 de febrero de 2006
329_p19,7 de febrero de 2006
329_p20,7 de febrero de 2006
329_p28,7 de febrero de 2006
329_p40,7 de febrero de 2006
329_p47,7 de febrero de 2006
329_p49,7 de febrero de 2006
329_p53,7 de febrero de 2006
329_p59,7 de febrero de 2006
329_p78,7 de febrero de 2006
329_p80,7 de febrero de 2006
329_p83,7 de febrero de 2006
329_p85,7 de febrero de 2006
329_p88,7 de febrero de 2006
329_p94,14 de febrero de 2006
329_p117,14 de febrero de 2006
329_p120,14 de febrero de 2006
329_p123,14 de febrero de 2006
329_p134,14 de febrero de 2006
329_p135,14 de febrero de 2006
329_p142,14 de febrero de 2006
329_p147,14 de febrero de 2006
329_p149,14 de febrero de 2006
329_p158,14 de febrero de 2006
329_p163,14 de febrero de 2006
329_p165,14 de febrero de 2006
329_p167,14 de febrero de 2006
329_p171,14 de febrero de 2006
329_p175,14 de febrero de 2006
329_p177,14 de febrero de 2006
329_p182,14 de febrero de 2006
329_p184,21 de febrero de 2006
329_p187,21 de febrero de 2006
329_p201,21 de febrero de 2006
329_p206,21 de febrero de 2006
329_p212,21 de febrero de 2006
329_p215,21 de febrero de 2006
329_p218,21 de febrero de 2006
329_p222,21 de febrero de 2006
329_p224,21 de febrero de 2006
329_p229,21 de febrero de 2006
329_p231,21 de febrero de 2006
329_p234,21 de febrero de 2006
329_p237,21 de febrero de 2006
329_p239,21 de febrero de 2006
329_p241,23 de febrero de 2006
329_p243,23 de febrero de 2006
329_p244,28 de febrero de 2006
329_p292,28 de febrero de 2006
329_p297,28 de febrero de 2006
329_p300,28 de febrero de 2006
329_p304,28 de febrero de 2006
329_p309,28 de febrero de 2006
329_p314,28 de febrero de 2006
329_p317,28 de febrero de 2006
329_p318,
329_p324,28 de febrero de 2006
329_p326,28 de febrero de 2006
329_p329,
329_p330,28 de febrero de 2006
329_p335,28 de febrero de 2006
329_p342,28 de febrero de 2006
329_p349,28 de febrero de 2006
329_p353,28 de febrero de 2006
329_p358,28 de febrero de 2006
329_p370,28 de febrero de 2006
329_p373,28 de febrero de 2006
329_p381,28 de febrero de 2006
329_p383,28 de febrero de 2006
329_p385,7 de marzo de 2006
329_p429,7 de marzo de 2006
329_p431,7 de marzo de 2006
329_p432,7 de marzo de 2006
329_p437,7 de febrero de 2006
329_p440,7 de marzo de 2006
329_p445,7 de marzo de 2006
329_p463,7 de marzo de 2006
329_p471,7 de marzo de 2006
329_p472,
329_p473,7 de marzo de 2006
329_p491,7 de marzo de 2006
329_p493,7 de marzo de 2006
329_p495,7 de marzo de 2006
329_p500,7 de marzo de 2006
329_p502,7 de marzo de 2006
329_p510,
329_p513,7 de marzo de 2006
329_p518,7 de marzo de 2006
329_p526,7 de marzo de 2006
329_p530,7 de marzo de 2006
329_p537,7 de marzo de 2006
329_p542,7 de marzo de 2006
329_p545,7 de marzo de 2006
329_p548,7 de marzo de 2006
329_p551,7 de marzo de 2006
329_p553,7 de marzo de 2006
329_p560,7 de marzo de 2006
329_p565,7 de marzo de 2006
329_p568,7 de marzo de 2006
329_p570,7 de marzo de 2006
329_p573,7 de marzo de 2006
329_p576,7 de marzo de 2006
329_p584,7 de marzo de 2006
329_p595,14 de marzo de 2006
329_p617,14 de marzo de 2006
329_p619,14 de marzo de 2006
329_p620,14 de marzo de 2006
329_p622,14 de marzo de 2006
329_p623,15 de marzo de 2006
329_p624,21 de marzo de 2006
329_p629,21 de marzo de 2006
329_p634,21 de marzo de 2006
329_p639,21 de marzo de 2006
329_p646,21 de marzo de 2006
329_p669,21 de marzo de 2006
329_p679,21 de marzo de 2006
329_p689,21 de marzo de 2006
329_p695,21 de marzo de 2006
329_p710,21 de marzo de 2006
329_p716,21 de marzo de 2006
329_p717,21 de marzo de 2006
329_p723,21 de marzo de 2006
329_p730,21 de marzo de 2006
329_p734,21 de marzo de 2006
329_p741,21 de marzo de 2006
329_p743,21 de marzo de 2006
329_p752,21 de marzo de 2006
