caso_id,lineas,fuerza,marcadores
345_p1309,108,FUERTE,"por ello, se desestima"
345_p157,90,FUERTE,autos y vistos
345_p187,68,FUERTE,"autos y vistos;por ello, se desestima"
345_p204,504,FUERTE,"autos y vistos;por ello, se resuelve;se resuelve"
345_p384,58,FUERTE,autos y vistos
345_p386,545,FUERTE,"por ello, se desestima;se confirma la sentencia"
346_p1063,70,FUERTE,"autos y vistos;por ello, se desestima"
346_p1243,196,FUERTE,autos y vistos
346_p1545,146,FUERTE,autos y vistos
346_p233,71,FUERTE,"por ello, se desestima"
346_p254,50,FUERTE,"autos y vistos;por ello, se desestima"
346_p48,320,FUERTE,autos y vistos;se resuelve
346_p542,1525,FUERTE,autos y vistos;se resuelve;se hace lugar
347_p1184,34,FUERTE,"por ello, se desestima;se desestima la queja"
347_p316,138,FUERTE,"autos y vistos;por ello, se resuelve;se resuelve"
348_p1231,430,FUERTE,autos y vistos;se resuelve
348_p1730,91,FUERTE,autos y vistos
348_p286,17,FUERTE,autos y vistos
348_p54,39,FUERTE,"autos y vistos;por ello, se desestima"
349_p75,51,FUERTE,autos y vistos
345_p1233,188,DEBIL,se desestima la queja
345_p244,192,DEBIL,se hace lugar
345_p251,485,DEBIL,se hace lugar
345_p338,413,DEBIL,se resuelve
345_p605,105,DEBIL,se hace lugar
345_p716,205,DEBIL,se hace lugar
345_p849,686,DEBIL,se revoca la sentencia
346_p75,353,DEBIL,se revoca la sentencia
347_p1363,519,DEBIL,se revoca la sentencia;se hace lugar
347_p1763,252,DEBIL,se hace lugar
347_p824,292,DEBIL,se revoca la sentencia;se hace lugar
348_p1519,141,DEBIL,se hace lugar
348_p262,215,DEBIL,se hace lugar
