caso_id_canonico,via,disposicion,parte_ganadora,reenvia,needs_alignment
329_p5,recurso_concedido,revoca,recurrente_gana,True,False
329_p15,queja,revoca,recurrente_gana,True,False
329_p20,queja,deja_sin_efecto,recurrente_gana,False,True
329_p28,queja,deja_sin_efecto,recurrente_gana,True,False
329_p59,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p78,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p88,queja,deja_sin_efecto,recurrente_gana,True,False
329_p94,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p120,recurso_concedido,nulidad,recurrente_gana,True,False
329_p123,recurso_concedido,revoca,recurrente_gana,False,False
329_p142,queja,deja_sin_efecto,recurrente_gana,False,False
329_p149,queja,deja_sin_efecto,recurrente_gana,True,False
329_p184,recurso_concedido,confirma,recurrente_pierde,False,False
329_p187,recurso_concedido,confirma,recurrente_pierde,False,False
329_p201,queja,revoca,recurrente_gana,True,False
329_p222,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p239,recurso_concedido,revoca,recurrente_gana,False,False
329_p300,recurso_concedido,confirma,recurrente_pierde,False,False
329_p304,recurso_concedido,confirma,recurrente_pierde,False,False
329_p314,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p318,queja,deja_sin_efecto,recurrente_gana,True,False
329_p335,queja,deja_sin_efecto,recurrente_gana,False,False
329_p358,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p385,recurso_concedido,confirma,recurrente_pierde,False,False
329_p429,recurso_concedido,nulidad,recurrente_gana,True,False
329_p431,queja,no_revision_procesal,no_aplica,False,False
329_p432,recurso_concedido,revoca,recurrente_gana,False,False
329_p445,recurso_concedido,revoca,recurrente_gana,False,False
329_p463,recurso_concedido,revoca,recurrente_gana,False,False
329_p471,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p472,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p473,queja,revoca,recurrente_gana,False,False
329_p502,queja,deja_sin_efecto,recurrente_gana,True,False
329_p513,queja,deja_sin_efecto,recurrente_gana,False,False
329_p518,queja,revoca,recurrente_gana,True,False
329_p526,queja,deja_sin_efecto,recurrente_gana,True,False
329_p530,queja,deja_sin_efecto,recurrente_gana,True,False
329_p548,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p553,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p573,recurso_concedido,revoca,recurrente_gana,False,False
329_p576,recurso_concedido,revoca,recurrente_gana,False,False
329_p584,recurso_concedido,confirma,recurrente_pierde,False,False
329_p595,recurso_concedido,revoca,recurrente_gana,False,False
329_p623,queja,sin_disposicion_legible,no_aplica,False,False
329_p624,recurso_concedido,revoca,recurrente_gana,True,False
329_p634,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p639,recurso_concedido,revoca,recurrente_gana,False,False
329_p669,recurso_concedido,confirma,recurrente_pierde,False,False
329_p679,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p710,queja,deja_sin_efecto,recurrente_gana,True,False
329_p723,queja,deja_sin_efecto,recurrente_gana,True,False
329_p792,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p868,recurso_concedido,revoca,recurrente_gana,False,False
329_p872,recurso_concedido,confirma,recurrente_pierde,False,False
329_p888,recurso_concedido,revoca,recurrente_gana,True,False
329_p899,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p904,recurso_concedido,confirma,recurrente_pierde,False,False
329_p909,queja,deja_sin_efecto,recurrente_gana,True,False
329_p926,queja,no_revision_procesal,no_aplica,False,False
329_p959,recurso_concedido,revoca,recurrente_gana,False,False
329_p972,recurso_concedido,confirma,recurrente_pierde,False,False
329_p976,queja,confirma,recurrente_pierde,False,False
329_p984,recurso_concedido,confirma,recurrente_pierde,False,False
329_p988,recurso_concedido,confirma,recurrente_pierde,False,False
329_p997,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1002,queja,deja_sin_efecto,recurrente_gana,False,False
329_p1007,queja,confirma,recurrente_pierde,False,False
329_p1012,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1040,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p1045,recurso_concedido,por_ello_cortado,no_aplica,False,False
329_p1053,queja,revoca,recurrente_gana,True,False
329_p1066,queja,revoca,recurrente_gana,True,False
329_p1092,queja,confirma,recurrente_pierde,False,False
329_p1219,queja,deja_sin_efecto,recurrente_gana,False,False
329_p1245,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1310,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p1317,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p1350,recurso_concedido,revoca,recurrente_gana,False,False
329_p1391,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1399,recurso_concedido,revoca,recurrente_gana,False,False
329_p1417,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1425,recurso_concedido,revoca,recurrente_gana,False,False
329_p1436,recurso_concedido,revoca,recurrente_gana,True,False
329_p1440,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1447,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p1473,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1480,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p1514,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1539,queja,no_revision_procesal,no_aplica,False,False
329_p1541,queja,deja_sin_efecto,recurrente_gana,False,False
329_p1554,recurso_concedido,nulidad,recurrente_gana,False,False
329_p1619,recurso_concedido,revoca,recurrente_gana,False,False
329_p1622,queja,deja_sin_efecto,recurrente_gana,False,False
329_p1626,recurso_concedido,nulidad,recurrente_gana,False,False
329_p1638,recurso_concedido,revoca,recurrente_gana,False,False
329_p1661,queja,deja_sin_efecto,recurrente_gana,False,False
329_p1673,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p1715,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p1762,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1779,queja,revoca,recurrente_gana,True,False
329_p1794,queja,nulidad,recurrente_gana,False,False
329_p1812,queja,deja_sin_efecto,recurrente_gana,True,False
329_p1821,queja,revoca,recurrente_gana,False,False
329_p1881,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p1930,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1936,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1938,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1951,recurso_concedido,confirma,recurrente_pierde,False,False
329_p1963,recurso_concedido,revoca,recurrente_gana,True,False
329_p1969,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2024,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2037,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2051,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2055,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2146,recurso_concedido,revoca,recurrente_gana,False,False
329_p2149,recurso_concedido,revoca,recurrente_gana,False,False
329_p2152,recurso_concedido,revoca,recurrente_gana,True,False
329_p2158,queja,revoca,recurrente_gana,False,False
329_p2166,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2174,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2179,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2191,recurso_concedido,revoca,recurrente_gana,True,False
329_p2194,recurso_concedido,revoca,recurrente_gana,False,False
329_p2197,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2199,queja,revoca,recurrente_gana,False,False
329_p2212,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2221,queja,no_revision_procesal,no_aplica,False,False
329_p2226,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p2231,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p2261,recurso_concedido,revoca,recurrente_gana,False,False
329_p2265,recurso_concedido,revoca,recurrente_gana,True,False
329_p2274,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2280,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2284,queja,revoca,recurrente_gana,True,False
329_p2347,recurso_concedido,revoca,recurrente_gana,False,False
329_p2351,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2367,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2413,recurso_concedido,revoca,recurrente_gana,True,False
329_p2419,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2429,queja,revoca,recurrente_gana,True,False
329_p2433,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2440,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2450,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2459,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2498,recurso_concedido,revoca,recurrente_gana,False,False
329_p2503,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2511,recurso_concedido,revoca,recurrente_gana,False,False
329_p2532,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p2539,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2547,recurso_concedido,revoca,recurrente_gana,True,False
329_p2552,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2563,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2569,recurso_concedido,revoca,recurrente_gana,True,False
329_p2575,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p2591,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2596,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2601,queja,confirma,recurrente_pierde,False,False
329_p2614,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2626,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2645,queja,no_revision_competencia,no_aplica,False,False
329_p2659,queja,revoca,recurrente_gana,True,False
329_p2667,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2688,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p2759,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p2825,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2827,recurso_concedido,revoca,recurrente_gana,False,False
329_p2829,recurso_concedido,revoca,recurrente_gana,False,False
329_p2830,recurso_concedido,revoca,recurrente_gana,False,False
329_p2834,recurso_concedido,revoca,recurrente_gana,False,True
329_p2837,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2844,recurso_concedido,revoca,recurrente_gana,False,False
329_p2856,queja,deja_sin_efecto,recurrente_gana,False,False
329_p2864,recurso_concedido,modifica,parcial,False,False
329_p2876,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2886,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2890,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2897,queja,deja_sin_efecto,recurrente_gana,True,False
329_p2937,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2939,recurso_concedido,confirma,recurrente_pierde,False,False
329_p2949,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p2967,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p2975,recurso_concedido,revoca,recurrente_gana,True,False
329_p2986,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3006,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p3019,queja,revoca,recurrente_gana,True,False
329_p3021,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3034,queja,revoca,recurrente_gana,True,False
329_p3046,queja,revoca,recurrente_gana,True,False
329_p3048,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3054,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3059,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3100,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3103,recurso_concedido,revoca,recurrente_gana,False,False
329_p3106,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3115,queja,revoca,recurrente_gana,True,False
329_p3122,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3129,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3139,queja,grant_remand_implicito,recurrente_gana,True,False
329_p3203,recurso_concedido,revoca,recurrente_gana,False,False
329_p3207,recurso_concedido,revoca,recurrente_gana,False,False
329_p3211,recurso_concedido,revoca,recurrente_gana,False,False
329_p3213,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3218,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3373,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3388,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3400,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3403,recurso_concedido,no_revision_demanda,no_aplica,False,False
329_p3445,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p3457,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3459,recurso_concedido,revoca,recurrente_gana,False,False
329_p3464,recurso_concedido,deja_sin_efecto,recurrente_gana,False,False
329_p3470,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3478,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3488,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3493,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p3528,recurso_concedido,no_revision_procesal,no_aplica,False,False
329_p3546,recurso_concedido,confirma,recurrente_pierde,True,False
329_p3568,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3577,recurso_concedido,confirma,recurrente_pierde,False,False
329_p3584,recurso_concedido,revoca,recurrente_gana,True,False
329_p3589,recurso_concedido,revoca,recurrente_gana,True,False
329_p3593,recurso_concedido,deja_sin_efecto,recurrente_gana,True,False
329_p3666,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3673,queja,deja_sin_efecto,recurrente_gana,False,False
329_p3680,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3757,queja,deja_sin_efecto,recurrente_gana,True,False
329_p3800,queja,revoca,recurrente_gana,True,False
329_p3848,recurso_concedido,revoca,recurrente_gana,False,False
