caso,outcome,merit,orig,queja,pe_cambio,pe_viejo_cola,pe_nuevo_300,pe_nuevo_cola
329_p2158,,,,nan->agreguese,si,"ibunal resuelve: Hacer lugar al recurso extraordinario, revo- car la sentencia apelada y admitir la demanda de amparo con el al- 2162 FALLOS DE LA CORTE SUPREMA","Por ello, habiendo tomado adecuada intervención la defensora ofi- cial y promovido el correspondiente juicio de declaración de incapaci- dad, el Tribunal resuelve: Hacer lugar al recurso extraordinario, revo- car la sentencia apelada y admitir la demanda de amparo con el al- cance que surge de los c","entencia apelada y admitir la demanda de amparo con el al- cance que surge de los considerandos precedentes. Con costas (art. 14, ley 16.986). Agréguese la queja al expediente principal. Notifíquese y"
329_p3190,otro->competencia,,,,si,"a presente causa no corresponde a la competencia origi- 3196 FALLOS DE LA CORTE SUPREMA 329 naria de la Corte Suprema de Justicia de la Nación. Notifíquese, co-","Por ello y oído el señor Procurador Fiscal subrogante se resuelve: Declarar que la presente causa no corresponde a la competencia origi- naria de la Corte Suprema de Justicia de la Nación. Notifíquese, co- muníquese al señor Procurador General, agréguense copias de los pro- nunciamientos a los que s","quese al señor Procurador General, agréguense copias de los pro- nunciamientos a los que se remite y del dictamen del Procurador Fis- cal subrogante obrante a fs. 35/36 vta. del incidente sobre medida"
329_p4634,,0->1,,,si,"uto, se declara procedente el recurso extraordinario 4645 DE JUSTICIA DE LA NACION 329 concedido a fs. 1199 de los presentes autos, y se deja sin efecto la sen-","Por ello y de conformidad con lo dictaminado por el señor Procura- dor General sustituto, se declara procedente el recurso extraordinario concedido a fs. 1199 de los presentes autos, y se deja sin efecto la sen- tencia apelada. Notifíquese y devuélvanse los autos al tribunal de ori- gen, a fin de qu","e deja sin efecto la sen- tencia apelada. Notifíquese y devuélvanse los autos al tribunal de ori- gen, a fin de que, por quien corresponda, se dicte un nuevo pronuncia- miento con arreglo al presente."
329_p4986,otro->competencia,,,,si,"l a los que corresponde remitirse en razón de brevedad, se 4988 FALLOS DE LA CORTE SUPREMA 329 declara que deberá continuar entendiendo en la causa en la que se","Por los fundamentos y conclusiones del dictamen del señor Procu- rador Fiscal a los que corresponde remitirse en razón de brevedad, se declara que deberá continuar entendiendo en la causa en la que se originó el presente incidente el Juzgado Federal Nº 1 de San Isidro, Provincia de Buenos Aires, al ","e se originó el presente incidente el Juzgado Federal Nº 1 de San Isidro, Provincia de Buenos Aires, al que se le remitirá. Hágase saber al Juz- gado de Garantías Nº 4 con asiento en la citada ciudad."
329_p5734,,,,nan->procedente,si,"ntencia apelada, con costas. Vuelvan los autos al tribu- 5737 DE JUSTICIA DE LA NACION 329 nal de origen para que, por quien corresponda, se dicte un nuevo pro-","Por ello, se declara procedente el recurso extraordinario y se deja sin efecto la sentencia apelada, con costas. Vuelvan los autos al tribu- nal de origen para que, por quien corresponda, se dicte un nuevo pro- nunciamiento con arreglo a la presente. Agréguese la queja al princi- pal. Notifíquese y ","as. Vuelvan los autos al tribu- nal de origen para que, por quien corresponda, se dicte un nuevo pro- nunciamiento con arreglo a la presente. Agréguese la queja al princi- pal. Notifíquese y remítase."
329_p5737,,,,nan->procedente,si,"ntencia apelada. Con costas. Vuelvan los autos al tribu- 5741 DE JUSTICIA DE LA NACION 329 nal de origen para que, por quien corresponda, se dicte un nuevo pro-","Por ello, se declara procedente el recurso extraordinario y se deja sin efecto la sentencia apelada. Con costas. Vuelvan los autos al tribu- nal de origen para que, por quien corresponda, se dicte un nuevo pro- nunciamiento con arreglo a la presente. Agréguese la queja al princi- pal. Notifíquese y ","as. Vuelvan los autos al tribu- nal de origen para que, por quien corresponda, se dicte un nuevo pro- nunciamiento con arreglo a la presente. Agréguese la queja al princi- pal. Notifíquese y remítase."
329_p743,otro->rechaza,,,,si,el Tribunal resuelve: I) Hacer extensiva la resolución de 751 DE JUSTICIA DE LA NACION 329 fs. 479/483 de los autos principales a Francisco Javier Duque Salazar,"Por todo lo expuesto, oído el señor Procurador Fiscal de la Na- ción, el Tribunal resuelve: I) Hacer extensiva la resolución de fs. 479/483 de los autos principales a Francisco Javier Duque Salazar y rechazar el pedido de extradición solicitado por Estados Unidos de Norteamérica a su respecto; II) H","zar el pedido de extradición solicitado por Estados Unidos de Norteamérica a su respecto; II) Hacer saber al Ministerio de Relacio- nes Exteriores, Comercio Internacional y Culto lo aquí resuelto para"
330_p1525,otro->caducidad,,,,si,"concesión del beneficio de litigar sin gastos, debiendo la parte informar periódicamente al respecto, bajo apercibimiento de 1526 FALLOS DE LA CORTE SUPREMA 330","Por ello, difiérese la consideración de la presente queja hasta tan- to se acredite la concesión del beneficio de litigar sin gastos, debiendo la parte informar periódicamente al respecto, bajo apercibimiento de declarar la caducidad de la instancia. Notifíquese y resérvese en Mesa de Entradas del T","io de litigar sin gastos, debiendo la parte informar periódicamente al respecto, bajo apercibimiento de declarar la caducidad de la instancia. Notifíquese y resérvese en Mesa de Entradas del Tribunal."
330_p1708,mal_concedido->confirma,0->1,,,si,"ia (fs. 1372/1373), se declara parcialmente admisible el recur- 1717 DE JUSTICIA DE LA NACION 330 so extraordinario interpuesto por la parte actora y su letrado","Por ello, se declara mal concedido el recurso extraordinario de la provincia (fs. 1372/1373), se declara parcialmente admisible el recur- so extraordinario interpuesto por la parte actora y su letrado (fs. 1375/1380), y se confirma la sentencia apelada. Las costas de esta instancia se imponen de acu","so extraordinario interpuesto por la parte actora y su letrado (fs. 1375/1380), y se confirma la sentencia apelada. Las costas de esta instancia se imponen de acuerdo con los respectivos vencimientos."
330_p1907,procedente->hace_lugar,0->1,,nan->hace_lugar,si,"te la Corte Suprema de Justicia de la Nación, se hace 1910 FALLOS DE LA CORTE SUPREMA 330 lugar a la queja, se declara procedente el recurso extraordinario y se","Por ello, de conformidad con lo dictaminado por la señora Procura- dora Fiscal ante la Corte Suprema de Justicia de la Nación, se hace lugar a la queja, se declara procedente el recurso extraordinario y se deja sin efecto el pronunciamiento apelado. Con costas (art. 68 del Código Procesal Civil y Co","sin efecto el pronunciamiento apelado. Con costas (art. 68 del Código Procesal Civil y Comercial de la Nación). Vuelvan los autos al tribunal de origen a fin de que, por medio de quien corresponda, se"
330_p2639,otro->procedente,,,,si,"a: (1) mal concedido el recurso ordinario articulado por los actores a fs. 6498, (2) improcedentes los recursos extraordina- 2654 FALLOS DE LA CORTE SUPREMA 330","Por ello, y de conformidad con el dictamen de la señora Procurado- ra Fiscal, se declara: (1) mal concedido el recurso ordinario articulado por los actores a fs. 6498, (2) improcedentes los recursos extraordina- rios de fs. 6571/6602 y 6567/6570, con costas; (3) mal concedido el re- curso ordinario "," fs. 6571/6602 y 6567/6570, con costas; (3) mal concedido el re- curso ordinario interpuesto por la Entidad Binacional Yacyretá. Asi- mismo, se declara procedente el recurso extraordinario interpuesto"
330_p4129,,0->1,,,si,"de caducidad de fs. 95/96, se hace lugar a la queja, se 4134 FALLOS DE LA CORTE SUPREMA 330 declara procedente el recurso extraordinario y se deja sin efecto la","Por ello y lo concordemente dictaminado a fs. 88/89 vta., se deses- tima el planteo de caducidad de fs. 95/96, se hace lugar a la queja, se declara procedente el recurso extraordinario y se deja sin efecto la sentencia apelada, en cuanto ha sido materia de recurso. Con costas.","lanteo de caducidad de fs. 95/96, se hace lugar a la queja, se declara procedente el recurso extraordinario y se deja sin efecto la sentencia apelada, en cuanto ha sido materia de recurso. Con costas."
330_p4721,procedente->hace_lugar,,,,si,"nte la sentencia apelada y se rechaza en igual medida la 4733 DE JUSTICIA DE LA NACION 330 acción de amparo (art. 16, segunda parte, de la ley 48), salvo por el","Por ello, se declara procedente el recurso extraordinario, se revoca parcialmente la sentencia apelada y se rechaza en igual medida la acción de amparo (art. 16, segunda parte, de la ley 48), salvo por el período especificado en el acápite VII del mencionado dictamen –com- prendido entre diciembre d",ecificado en el acápite VII del mencionado dictamen –com- prendido entre diciembre de 2001 y el dictado de la disposición 290/2002 (AFIP)– por el cual se la confirma y se hace lugar a la demanda. Cos-
330_p506,,,,nan->agreguese,si,"al Civil y Comercial de la Nación). Vuelvan los autos al tribunal anterior a efectos de que, según corresponda, dicte un nue- 516 FALLOS DE LA CORTE SUPREMA 330","Por ello, se deja sin efecto la sentencia apelada. Con costas (art. 68 del Código Procesal Civil y Comercial de la Nación). Vuelvan los autos al tribunal anterior a efectos de que, según corresponda, dicte un nue- vo fallo con arreglo al presente. Agréguese la queja al principal según lo previsto a ","gún corresponda, dicte un nue- vo fallo con arreglo al presente. Agréguese la queja al principal según lo previsto a fs. 122, devuélvase el depósito de fs. 1. Notifíquese y, opor- tunamente, remítase."
