caso_id_canonico,source_file,a0,k0_rel,k0_abs,clase,rama,guard_fuente,n_anclas_pre,n_anclas_post,k_propio_rel,span_pre_apertura,wc_primer_span,n_spans,wc_epilogo_total,primera_linea,k_post_rel,clase_post,rama_post,guard_fuente_post,primera_linea_post
330_p5257,LibroVol330.4.md,ok,340,36480,pie_genuino,Recurso,mixta,2,4,259,0,59,2,62,"Recurso de hecho interpuesto por la Empresa Distribuidora de Energía Norte S.A., actora",340,pie_genuino,Recurso,mixta,"Recurso de hecho interpuesto por la Empresa Distribuidora de Energía Norte S.A., actora"
331_p400,LibroVol331.1.md,ok,339,15312,rotulo_pie,Profesionales,mixta,2,4,122,0,19,1,19,Profesionales intervinientes: Dres. Benjamín H. Schoua; Daniel A. Guolo; Milton,339,rotulo_pie,Profesionales,mixta,Profesionales intervinientes: Dres. Benjamín H. Schoua; Daniel A. Guolo; Milton
331_p2889,LibroVol331.3.md,ok,169,35001,pie_genuino,Parte actora,propia,0,3,72,0,35,1,35,Parte actora: (única presentada en el expediente) Obra Social para la Activi-,169,pie_genuino,Parte actora,propia,Parte actora: (única presentada en el expediente) Obra Social para la Activi-
333_p487,LibroVol333.1.md,ok,419,19178,rotulo_pie,Nombre del,mixta,2,5,122,0,38,1,38,Nombre del actor: Administración de Parques Nacionales.,419,rotulo_pie,Nombre del,mixta,Nombre del actor: Administración de Parques Nacionales.
333_p1723,LibroVol333.2.md,ok,143,37520,recurso_narrativo,Recurso,solo_pre_apertura,1,0,126,0,353,3,727,recurso extraordinario (fs. 855/861) cuya denegación dio origen a la,143,recurso_narrativo,Recurso,solo_pre_apertura,recurso extraordinario (fs. 855/861) cuya denegación dio origen a la
333_p1735,LibroVol333.2.md,ok,951,38763,recurso_narrativo,Recurso,mixta,1,4,782,0,43,1,43,Recursos ordinarios de apelación interpuestos los el Ministerio Público Fiscal y la,951,recurso_narrativo,Recurso,mixta,Recursos ordinarios de apelación interpuestos los el Ministerio Público Fiscal y la
333_p2079,LibroVol333.3.md,ok,644,8099,recurso_narrativo,Recurso,solo_pre_apertura,4,0,400,0,318,5,710,recurso periodístico del titulado sólo apunta –obviamente– a traslucir,644,recurso_narrativo,Recurso,solo_pre_apertura,recurso periodístico del titulado sólo apunta –obviamente– a traslucir
334_p768,LibroVol334.2.md,ok,363,2454,pie_genuino,Recurso,mixta,1,12,32,0,17,2,46,"Recurso extraordinario interpuesto por la Dirección General de Aduanas, repre-",363,pie_genuino,Recurso,mixta,"Recurso extraordinario interpuesto por la Dirección General de Aduanas, repre-"
334_p1346,LibroVol334.3.md,ok,252,11542,rotulo_pie,Profesionales,solo_pre_apertura,2,0,208,0,12,6,1526,Profesionales de la Ingeniería Civil y por la Caja de Previsión Social,252,rotulo_pie,Profesionales,solo_pre_apertura,Profesionales de la Ingeniería Civil y por la Caja de Previsión Social
334_p1754,LibroVol334.3.md,ok,451,27897,recurso_narrativo,Recurso,propia,0,2,43,0,231,5,1223,recurso extraordinario previsto en el artículo 14 de la ley 48 (Fallos:,451,recurso_narrativo,Recurso,propia,recurso extraordinario previsto en el artículo 14 de la ley 48 (Fallos:
