caso_id_canonico,source_file,a0,k0_rel,k0_abs,clase,rama,guard_fuente,n_anclas_pre,n_anclas_post,k_propio_rel,span_pre_apertura,wc_primer_span,n_spans,wc_epilogo_total,primera_linea,k_post_rel,clase_post,rama_post,guard_fuente_post,primera_linea_post
329_p94,LibroVol329.1.md,ok,418,3813,rotulo_pie,Profesionales,propia,0,8,1,0,406,3,693,"profesionales, de modo que debe verificarse una inescindible compa-",418,rotulo_pie,Profesionales,propia,"profesionales, de modo que debe verificarse una inescindible compa-"
329_p385,LibroVol329.1.md,ok,551,14956,recurso_narrativo,Recurso,propia,0,1,9,0,431,6,1864,recurso extraordinario federal el fiscal de Estado sostuvo que la deno-,551,recurso_narrativo,Recurso,propia,recurso extraordinario federal el fiscal de Estado sostuvo que la deno-
329_p595,LibroVol329.1.md,ok,806,23238,recurso_narrativo,Recurso,propia,0,2,2,0,420,3,731,recursos provenientes del Fondo Especial de Desarrollo Eléctrico del,806,recurso_narrativo,Recurso,propia,recursos provenientes del Fondo Especial de Desarrollo Eléctrico del
329_p646,LibroVol329.1.md,ok,398,24745,recurso_narrativo,Recurso,propia,0,9,0,0,19,10,2311,recurso extraordinario. Con costas (art. 68 del Código Procesal Civil y,398,recurso_narrativo,Recurso,propia,recurso extraordinario. Con costas (art. 68 del Código Procesal Civil y
329_p695,LibroVol329.1.md,ok,279,26530,recurso_narrativo,Recurso,propia,0,11,1,0,57,8,2201,recurso extraordinario que se encuentra glosado a fs. 281/295 de los,279,recurso_narrativo,Recurso,propia,recurso extraordinario que se encuentra glosado a fs. 281/295 de los
329_p743,LibroVol329.1.md,ok,203,28226,recurso_narrativo,Recurso,propia,0,2,1,0,83,3,824,"recursos ordinarios de apelación interpuestos en causas criminales,",203,recurso_narrativo,Recurso,propia,"recursos ordinarios de apelación interpuestos en causas criminales,"
329_p928,LibroVol329.1.md,ok,181,35227,recurso_narrativo,Recurso,propia,0,6,1,0,330,6,1498,"recurso de reposición. Su rechazo (fs. 380/382), motivó la interposición",181,recurso_narrativo,Recurso,propia,"recurso de reposición. Su rechazo (fs. 380/382), motivó la interposición"
329_p993,LibroVol329.1.md,ok,71,37545,recurso_narrativo,Recurso,propia,0,5,1,0,378,4,702,recursos las limitaciones y exigencias propias del remedio extraordi-,71,recurso_narrativo,Recurso,propia,recursos las limitaciones y exigencias propias del remedio extraordi-
329_p1066,LibroVol329.1.md,ok,618,40810,recurso_narrativo,Recurso,propia,0,5,30,0,273,9,1192,recurso extraordinario mediante la decisión de fs. 291 de esta presen-,618,recurso_narrativo,Recurso,propia,recurso extraordinario mediante la decisión de fs. 291 de esta presen-
329_p1092,LibroVol329.1.md,ok,340,41530,recurso_narrativo,Recurso,propia,0,1,1,0,17,21,6222,recurso extraordinario en cuanto cuestiona la imposición de costas (Disidencia,340,recurso_narrativo,Recurso,propia,recurso extraordinario en cuanto cuestiona la imposición de costas (Disidencia
329_p1191,LibroVol329.1.md,ok,282,45530,recurso_narrativo,Recurso,propia,0,2,1,0,101,4,872,"recurso de inaplicabilidad de ley a fs. 1344/1349, que dio origen al pro-",282,recurso_narrativo,Recurso,propia,"recurso de inaplicabilidad de ley a fs. 1344/1349, que dio origen al pro-"
329_p1447,LibroVol329.2.md,ok,945,3732,recurso_narrativo,Recurso,propia,0,18,1,0,244,5,1201,"recurso de la defensa, la nueva sentencia no podrá ultrapasar el límite",945,recurso_narrativo,Recurso,propia,"recurso de la defensa, la nueva sentencia no podrá ultrapasar el límite"
329_p2005,LibroVol329.2.md,ok,368,24512,recurso_narrativo,Recurso,propia,0,6,1,0,114,10,2537,"recurso extraordinario, concedido a fs. 576.",368,recurso_narrativo,Recurso,propia,"recurso extraordinario, concedido a fs. 576."
329_p2719,LibroVol329.2.md,ok,205,51162,recurso_narrativo,Recurso,propia,0,6,1,0,120,4,706,"recursos, o la imposibilidad de obtenerlos, de quien invoque el benefi-",205,recurso_narrativo,Recurso,propia,"recursos, o la imposibilidad de obtenerlos, de quien invoque el benefi-"
329_p2876,LibroVol329.2.md,ok,253,56951,recurso_narrativo,Recurso,propia,0,1,2,0,150,6,1397,"recursos extraordinarios (fs. 1200/1202 vta. y 1204/1211, respectiva-",253,recurso_narrativo,Recurso,propia,"recursos extraordinarios (fs. 1200/1202 vta. y 1204/1211, respectiva-"
329_p3027,LibroVol329.3.md,ok,169,2583,recurso_narrativo,Recurso,propia,0,6,3,0,518,6,649,recurso extraordinario interpuesto y se deja sin efecto la sentencia,169,recurso_narrativo,Recurso,propia,recurso extraordinario interpuesto y se deja sin efecto la sentencia
329_p3129,LibroVol329.3.md,ok,86,6360,recurso_narrativo,Recurso,propia,0,5,1,0,233,4,722,recurso de casación resulta arbitraria y transgresora de los arts. 18 de,86,recurso_narrativo,Recurso,propia,recurso de casación resulta arbitraria y transgresora de los arts. 18 de
329_p3148,LibroVol329.3.md,ok,290,7272,rotulo_pie,Profesionales,propia,0,1,1,0,228,5,1105,profesionales que actuaron con posterioridad a su vigencia.,290,rotulo_pie,Profesionales,propia,profesionales que actuaron con posterioridad a su vigencia.
329_p3235,LibroVol329.3.md,ok,2999,13233,recurso_narrativo,Recurso,mixta,1,10,1,0,184,32,11314,"recurso planteado por el doctor Alberto Oscar Nicosia, que fue desti-",2999,recurso_narrativo,Recurso,mixta,"recurso planteado por el doctor Alberto Oscar Nicosia, que fue desti-"
329_p3617,LibroVol329.3.md,ok,540,26013,recurso_narrativo,Recurso,propia,0,2,2,0,40,11,1890,"recurso extraordinario, dejar sin efecto la sentencia apelada y, en ejer-",540,recurso_narrativo,Recurso,propia,"recurso extraordinario, dejar sin efecto la sentencia apelada y, en ejer-"
329_p4044,LibroVol329.3.md,ok,199,42218,recurso_narrativo,Recurso,propia,0,1,1,0,350,4,708,"recurso extraordinario federal (fs. 269/281), que fue concedido a",199,recurso_narrativo,Recurso,propia,"recurso extraordinario federal (fs. 269/281), que fue concedido a"
329_p4140,LibroVol329.3.md,ok,184,45826,pie_genuino,Recurso,propia,0,13,4,0,57,4,556,"Recurso extraordinario interpuesto por la Dra. María Fernanda Novillo Quiroga, en representa-",184,pie_genuino,Recurso,propia,"Recurso extraordinario interpuesto por la Dra. María Fernanda Novillo Quiroga, en representa-"
329_p4289,LibroVol329.3.md,ok,520,51637,pie_genuino,Recurso,propia,0,4,0,0,282,4,822,recurso de apelación interpuesto por la concursada y por lo tanto man-,520,pie_genuino,Recurso,propia,recurso de apelación interpuesto por la concursada y por lo tanto man-
329_p4309,LibroVol329.3.md,ok,381,52280,recurso_narrativo,Recurso,propia,0,1,1,0,311,3,739,recursos extraordinarios interpuestos y dejar sin efecto la sentencia,381,recurso_narrativo,Recurso,propia,recursos extraordinarios interpuestos y dejar sin efecto la sentencia
329_p4506,LibroVol329.3.md,ok,327,59584,rotulo_pie,Profesionales,propia,0,6,0,0,361,9,3091,"profesionales intervinientes en las causas, de manera de determinar",327,rotulo_pie,Profesionales,propia,"profesionales intervinientes en las causas, de manera de determinar"
