caso_id_canonico,source_file,linea_inicio,linea_fin_real,outcome,is_merit_decision,en_gold,gold_es_revision_fondo,gold_nota
329_p1690,LibroVol329.2.md,12089,12190,otro,0,False,,
329_p1881,LibroVol329.2.md,19386,20097,hace_lugar,0,False,,
329_p1917,LibroVol329.2.md,20803,20935,otro,0,True,no,ZONA
329_p2065,LibroVol329.2.md,26372,26435,otro,0,False,,
329_p2485,LibroVol329.2.md,42131,42433,otro,0,False,,
329_p3190,LibroVol329.3.md,8584,8808,otro,0,False,,
329_p4829,LibroVol329.3.md,71561,72002,otro,0,False,,
329_p5424,LibroVol329.4.md,20483,21034,deja_sin_efecto,1,False,,
329_p548,LibroVol329.1.md,20659,20766,hace_lugar,1,False,,
329_p551,LibroVol329.1.md,20767,20824,otro,0,False,,
329_p78,LibroVol329.1.md,2810,2886,hace_lugar,0,False,,
330_p147,LibroVol330.1.md,5324,5513,hace_lugar,1,False,,
330_p1918,LibroVol330.2.md,22673,22928,hace_lugar,0,False,,
330_p2049,LibroVol330.2.md,27714,28060,hace_lugar,0,False,,
330_p2932,LibroVol330.3.md,2197,2995,rechaza,0,False,,
330_p4848,LibroVol330.4.md,20318,20450,otro,0,False,,
330_p76,LibroVol330.1.md,2650,3011,hace_lugar,1,False,,
331_p2202,LibroVol331.3.md,8498,9079,improcedente,0,False,,
332_p2776,LibroVol332.3.md,29118,29239,otro,0,False,,
332_p640,LibroVol332.1.md,24830,25755,hace_lugar,0,False,,
332_p663,LibroVol332.1.md,25756,26004,otro,0,False,,
334_p1010,LibroVol334.2.md,11392,11698,hace_lugar,1,False,,
334_p1346,LibroVol334.3.md,11290,11887,hace_lugar,0,False,,
334_p715,LibroVol334.2.md,50,469,otro,0,False,,
337_p1108,LibroVol337.2.md,8409,8786,hace_lugar,1,False,,
337_p1245,LibroVol337.2.md,13894,14181,otro,0,False,,
338_p313,LibroVol338.1.md,12088,12959,hace_lugar,0,False,,
340_p429,LibroVol340.1.md,16006,16067,otro,0,False,,
341_p1207,LibroVol341.2.md,13307,14032,hace_lugar,1,False,,
342_p2389,LibroVol342-2.md,42354,42768,hace_lugar,1,False,,
343_p1163,LibroVol343-2.md,18556,18915,otro,0,False,,
343_p319,LibroVol343-1.md,12090,12686,otro,0,False,,
344_p251,LibroVol344-1.md,9878,10823,rechaza,0,False,,
344_p2791,LibroVol344-3.md,6385,7174,otro,0,False,,
345_p783,LibroVol345-1.md,30021,30233,otro,0,False,,
345_p801,LibroVol345-1.md,30730,32154,rechaza,0,False,,
346_p970,LibroVol346-2.md,7879,9669,otro,0,False,,
347_p1446,LibroVol347-2.md,10453,11103,hace_lugar,1,False,,
347_p2025,LibroVol347-2.md,33011,33599,desestima,0,True,no,
347_p959,LibroVol347-1.md,36891,37280,hace_lugar,0,False,,
348_p1576,LibroVol348-1.md,60900,61235,otro,0,True,no,ZONA
348_p1675,LibroVol348-1.md,64742,65146,otro,0,False,,
