caso_id_canonico,parser_es_revision_fondo,parser_disposicion,parser_reenvia,parser_parte_ganadora,parser_via_recurso,parser_multi_recurso,_ctx_outcome_m19,_ctx_is_merit
329_p53,no,no_revision_procesal,no,no_aplica,recurso_extraordinario,no,competencia,0
329_p167,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p171,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p239,si,revoca,no,recurrente_gana,recurso_ordinario,no,revoca,1
329_p381,no,no_fondo,no,no_aplica,recurso_ordinario,no,desierto,0
329_p472,no,nulidad_concesion,no,no_aplica,recurso_extraordinario,no,nulidad_concesion,0
329_p473,si,revoca,no,recurrente_gana,recurso_extraordinario,no,revoca,1
329_p1336,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p1447,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p1473,si,confirma,no,recurrente_pierde,,no,confirma,1
329_p1487,no,no_fondo,no,no_aplica,,no,abstracto,0
329_p1541,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p1626,no,nulidad_concesion,no,no_aplica,recurso_extraordinario,no,nulidad_concesion,0
329_p1693,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p1862,no,no_revision_demanda,no,no_aplica,,no,rechaza,0
329_p1908,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p1917,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p1936,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
329_p1963,si,revoca,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p2111,no,no_fondo,no,no_aplica,,no,competencia,0
329_p2265,si,revoca,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p2569,si,revoca,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p2588,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
329_p2645,no,no_revision_competencia,no,no_aplica,recurso_extraordinario,no,competencia,0
329_p2856,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p2911,no,no_fondo,no,no_aplica,,no,competencia,0
329_p3129,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p3203,si,revoca,no,recurrente_gana,recurso_ordinario,no,revoca,1
329_p3213,si,confirma,no,recurrente_pierde,recurso_ordinario,no,confirma,1
329_p3388,si,confirma,no,recurrente_pierde,,no,confirma,1
329_p3757,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p3834,no,no_fondo,no,no_aplica,,no,competencia,0
329_p3846,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p3931,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p3956,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p4007,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,procedente,1
329_p4094,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
329_p4161,no,no_revision_procesal,no,no_aplica,,no,rechaza,0
329_p4178,no,no_fondo,no,no_aplica,,no,competencia,0
329_p4337,no,no_fondo,no,no_aplica,,no,competencia,0
329_p4342,no,no_fondo,no,no_aplica,,no,otro,0
329_p4352,no,no_fondo,no,no_aplica,,no,desestima,0
329_p4355,no,no_revision_procesal,no,no_aplica,,no,desestima,0
329_p4447,no,no_revision_procesal,no,no_aplica,,no,otro,0
329_p4481,no,no_fondo,no,no_aplica,,no,competencia,0
329_p4524,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p4535,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
329_p4717,no,no_fondo,no,no_aplica,recurso_extraordinario,no,abstracto,0
329_p4741,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,hace_lugar,1
329_p4762,si,confirma,no,recurrente_pierde,recurso_extraordinario,no,hace_lugar,1
329_p4822,no,no_fondo,no,no_aplica,,no,competencia,0
329_p4845,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p4902,no,no_fondo,no,no_aplica,recurso_extraordinario,no,desestima,0
329_p4990,no,no_revision_competencia,no,no_aplica,,no,competencia,0
329_p5007,si,revoca,no,recurrente_gana,recurso_ordinario,si,revoca,1
329_p5064,si,deja_sin_efecto,no,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p5115,si,deja_sin_efecto,si,recurrente_gana,recurso_extraordinario,no,procedente,1
329_p5198,no,no_fondo,no,no_aplica,recurso_ordinario,si,desierto,0
